機種,下階,品名,需求總量,出貨地,用量比,噸位,產能,需求工時,顏色,優先級
SPA 聽筒,1B2122A00-11E,聽筒上蓋,9816,內交,1,180T,150 ,65 ,其他,0
SPA 聽筒,1B2122C00-01E,支架,9816,內交,1,100T,255 ,38 ,其他,0
SPA 聽筒,1B2122900-01E,聽筒底蓋,9816,內交,1,180T,123 ,80 ,其他,0
SPA303G,1B314TN00-01E,聽筒底蓋,8000,內交,1,250T,120 ,67 ,其他,0
SPA303G,1B314TS00-01E,聽筒上蓋,8000,內交,1,180T,191 ,42 ,其他,0
Hurricane,1B31F1U00-01E,NU聽筒上蓋,0,內交,1,180T,144 ,0 ,其他,0
Hurricane,1B31F1V00-01E,NU聽筒下蓋,0,內交,1,180T,106 ,0 ,其他,0
Hurricane,1B31F1Y00-01E,NU導光柱,0,內交,1,50T,164 ,0 ,其他,0
Hurricane,1B01N3D00-01E,聽筒支架,8000,內交,1,100T,480 ,17 ,其他,0
Hurricane,1B31F1T00-01E,EU聽筒上蓋,0,內交,1,180T外包,154 ,0 ,其他,0
Hurricane,1B31F1W00-01E,EU聽筒下蓋,0,內交,1,180T外包,128 ,0 ,白色,1
Hurricane,1B31F2000-01E,EU導光柱,0,內交,1,50T,202 ,0 ,白色,1
Promax,2Z0C9-128E,Promax 上蓋,1231,內交NSD,1,350T,142 ,9 ,白色,1
Promax,2Z0C9-129E,Promax 下蓋,1231,內交NSD,1,350T,143 ,9 ,白色,1
Promax,2Q687-641E,Promax 側蓋 ,1231,內交NSD,1,100T,295 ,4 ,白色,1
WW,1B0153R00-01E,聽筒上蓋,0,內交,1,180T外包,185 ,0 ,白色,1
WW,1B0153Q00-01E,聽筒下蓋,0,內交,1,180T,128 ,0 ,白色,1
WW,1B0153S00-01E,聽筒支架,0,內交,1,50T,479 ,0 ,白色,1
WW,2Q687-161E,聽筒導光柱,0,內交,1,50T外包,288 ,0 ,白色,1
WW,2Q687K141E,聽筒上蓋,0,內交,1,180T,219 ,0 ,白色,1
WW,2Q687K151E,聽筒底蓋,0,內交,1,180T,123 ,0 ,其他,1
Guiness,2Q687K031E,掛鉤,0,內交,1,50T外包,1277 ,0 ,其他,1
Guiness,2Q687-541E,燈罩,0,內交NSD,1,50T外包,1021 ,0 ,其他,1
Guiness,1A025V100-21E,切斷鍵總成,0,內交NSD,1,130T外包,257 ,0 ,其他,1
7942G CR5,2Q687K101E,數字鍵,0,內交,1,DC200T外包,225 ,0 ,其他,1
7942G CR5,2Q687K111E,導航鍵,0,內交,1,DC120T外包,900 ,0 ,其他,1
7942G CR5,2Q687-551E,功能鍵,0,內交,1,100T外包,297 ,0 ,其他,1
7942G CR5,2Q687K131E,功能按鈕,0,內交,1,100T外包,511 ,0 ,其他,1
7942G CR5,2Q687-212E,聲音功能鍵    ,0,內交,1,50T外包,170 ,0 ,其他,1
7942G CR5,2Q687K432E,聲音鍵,0,內交,1,100T外包,1021 ,0 ,其他,1
7942G CR5,1B316KV00-01E,前蓋,0,內交,1,350T外包,84 ,0 ,其他,1
7942G CR5,2Q687K232E,模式選擇鍵,0,內交,1,100T,494 ,0 ,其他,1
7942G CR5,2Q687K242E,信息鍵,0,內交,1,100T外包,1021 ,0 ,其他,1
7942G CR5,1B313H900-01E,7942面板,0,內交,1,350T外包,138 ,0 ,其他,1
7962G CR5,2Q687K101E,數字鍵,0,內交,1,DC200T外包,225 ,0 ,其他,1
7962G CR5,2Q687K111E,導航鍵,0,內交,1,DC120T外包,900 ,0 ,其他,1
7962G CR5,2Q687-551E,功能鍵,0,內交,1,100T外包,297 ,0 ,透明,1
7962G CR5,2Q687K131E,功能按鈕,0,內交,1,100T外包,511 ,0 ,透明,1
7962G CR5,2Q687-212E,聲音功能鍵    ,0,內交,1,50T外包,170 ,0 ,透明,1
7962G CR5,2Q687K432E,聲音鍵,0,內交,1,100T外包,1021 ,0 ,透明,1
7962G CR5,1B316KV00-01E,前蓋,0,內交,1,350T外包,84 ,0 ,透明,1
7962G CR5,2Q687K232E,模式選擇鍵,0,內交,1,100T,494 ,0 ,透明,1
7962G CR5,2Q687K242E,信息鍵,0,內交,1,100T外包,1021 ,0 ,透明,1
7962G CR5,1B313HA00-01E,7962面板,0,內交,1,350T外包,155 ,0 ,透明,1
7942/7962G CR5,1B3151Q00-21E,後蓋,0,內交,1,350T,82 ,0 ,透明,1
7942/7962G CR5,2Q687K081E,角架,0,內交,1,450T外包,170 ,0 ,透明,1
7942/7962G CR5,2Q687K091E,角架轉軸,0,內交,2,50T外包,1459 ,0 ,透明,1
7942/7962G CR5,2Q687-771E,腳架桿次總成,0,內交,1,0,144 ,0 ,透明,1
7942/7962G CR5,2Q687K051E,腳架桿銷板,0,內交,1,130T外包,511 ,0 ,透明,1
1A22CAU00P01E,1B3151R00-01E,後蓋,0,內交,1,350T,90 ,0 ,透明,1
1A22CAU00P01E,2Q687K061E,腳架桿按鈕,0,內交,1,130T外包,823 ,0 ,透明,1
1A22CAU00P01E,2Q687K071E,腳桿銷,0,內交,1,130T外包,538 ,0 ,透明,1
1A22CAU00P01E,2Q687K051E,腳架桿銷板,0,內交,1,130T外包,511 ,0 ,透明,1
1A22CAU00P01E,2Q687K081E,角架,0,內交,1,450T外包,170 ,0 ,透明,1
1A22CAU00P01E,2Q687K091E,角架轉軸,0,內交,2,50T外包,1459 ,0 ,透明,1
1A22CAY00P01E,1B3151Q00-01E,後蓋,0,內交,1,350T,90 ,0 ,透明,1
7945G CR5+7965CR5,1B3151S00-01E,前蓋,0,內交,1,350T外包,81 ,0 ,透明,1
7945G CR5,2Q687K101E,數字鍵,0,內交,1,DC200T外包,225 ,0 ,透明,1
7945G CR5,2Q687-212E,聲音功能鍵    ,0,內交,1,50T外包,170 ,0 ,透明,1
7945G CR5,2Q687K232E,模式選擇鍵,0,內交,1,100T,494 ,0 ,透明,1
7945G CR5,2Q687K242E,信息鍵,0,內交,1,100T外包,1021 ,0 ,透明,1
7945G CR5,2Q687-551E,功能鍵,0,內交,1,100T外包,297 ,0 ,透明,1
7945G CR5,2Q687K131E,功能按鈕,0,內交,1,100T外包,511 ,0 ,透明,1
7945G CR5,2Q687K432E,聲音鍵,0,內交,1,100T外包,1021 ,0 ,透明,1
7945G CR5,2Q687-411E,按鈕燈罩,0,內交,1,50T,576 ,0 ,透明,1
7945G CR5,1B013SC00-01E,導航鍵,0,內交,1,DC120T外包,195 ,0 ,透明,1
7945G CR5,1B013SE00-01E,選擇件,0,內交,1,DC120T外包,195 ,0 ,透明,1
7945G CR5,1B015FCR4-03E,7945面板,0,內交,1,250T外包,191 ,0 ,透明,1
7965G CR5,2Q687K101E,數字鍵,0,內交,1,DC200T外包,225 ,0 ,透明,1
7965G CR5,2Q687-212E,聲音功能鍵    ,0,內交,1,50T外包,170 ,0 ,透明,1
7965G CR5,2Q687K232E,模式選擇鍵,0,內交,1,100T,494 ,0 ,透明,1
7965G CR5,2Q687K242E,信息鍵,0,內交,1,100T外包,1021 ,0 ,透明,1
7965G CR5,2Q687-551E,功能鍵,0,內交,1,100T外包,297 ,0 ,透明,1
7965G CR5,2Q687K131E,功能按鈕,0,內交,1,100T外包,511 ,0 ,透明,1
7965G CR5,2Q687K432E,聲音鍵,0,內交,1,100T外包,1021 ,0 ,透明,1
7965G CR5,2Q687-411E,按鈕燈罩,0,內交,1,50T,576 ,0 ,透明,1
7965G CR5,1B013SC00-01E,導航鍵,0,內交,1,DC120T外包,195 ,0 ,透明,1
7965G CR5,1B013SE00-01E,選擇件,0,內交,1,DC120T外包,195 ,0 ,透明,1
7965G CR5,1B015FCR4-13E,7965面板,0,內交,1,250T外包,202 ,0 ,透明,1
7945/7965G CR5,1B3151R00-21E,後蓋,0,內交,1,350T,86 ,0 ,透明,1
7945/7965G CR5,2Q687K081E,角架,0,內交,1,450T外包,170 ,0 ,透明,1
7945/7965G CR5,2Q687K091E,角架轉軸,0,內交,2,50T外包,1459 ,0 ,透明,1
7945/7965G CR5,2Q687-771E,腳架桿次總成,0,內交,1,0,144 ,0 ,透明,1
7945/7965G CR5,2Q687K051E,腳架桿銷板,0,內交,1,130T外包,511 ,0 ,透明,1
7975G,1B013RV00-01E,前蓋,0,內交,1,350T外包,71 ,0 ,透明,1
7975G,1B013S400-02E,喇叭後蓋總成,0,內交,1,130T,239 ,0 ,透明,1
7975G,1B013SC00-01E,導航鍵,0,內交,1,DC120T外包,195 ,0 ,透明,1
7975G,1B013SE00-01E,選擇件,0,內交,1,DC120T外包,195 ,0 ,透明,1
7975G,2Q687-212E,聲音功能鍵    ,0,內交,1,50T外包,170 ,0 ,透明,1
7975G,2Q687-361E,按鈕,0,內交,4,50T,414 ,0 ,透明,1
7975G,2Q687-411E,按鈕燈罩,0,內交,1,50T,576 ,0 ,透明,1
7975G,2Q687-421E,功能按鈕,0,內交,1,50T,229 ,0 ,透明,1
7975G,2Q687-441E,功能選擇鍵,0,內交,4,50T,729 ,0 ,透明,1
7975G,2Q687K101E,數字鍵,0,內交,1,DC200T外包,225 ,0 ,透明,1
7975G,2Q687K232E,模式選擇鍵,0,內交,1,100T,494 ,0 ,透明,1
7975G,2Q687K242E,信息鍵,0,內交,1,100T外包,1021 ,0 ,透明,1
7975G,2Q687K432E,聲音鍵,0,內交,1,100T外包,1021 ,0 ,透明,1
7975G,1B013SF00-01E,后蓋,0,內交,1,350T外包,84 ,0 ,透明,1
7975G,2Q687K081E,角架,0,內交,1,450T外包,170 ,0 ,透明,1
7975G,2Q687K091E,角架轉軸,0,內交,2,50T外包,1459 ,0 ,透明,1
7975G,2Q687K381E,腳架插銷,0,內交,1,130T外包,319 ,0 ,透明,1
7975G,2Q687K391E,腳架插銷按鈕,0,內交,1,50T,673 ,0 ,透明,1
7975G,2Q687K401E,腳架插銷板,0,內交,1,100T,247 ,0 ,透明,1
Goped,2Q944-002E,前蓋,0,內交,1,350T,72 ,0 ,透明,1
Goped,2Q944-031E,燈罩,0,內交,1,50T,1459 ,0 ,透明,1
Goped,2Q944-041E,功能鍵,0,內交,4,100T,800 ,0 ,透明,1
Goped,2Q944-241E,數字鍵,0,內交,1,DC200T,191 ,0 ,透明,1
Goped,2Q944-051E,重撥鍵,0,內交,1,DC200T,191 ,0 ,透明,1
Goped,2Q944-061E,轉移鍵,0,內交,1,DC200T,191 ,0 ,透明,1
Goped,2Q944-121E,LCD蓋,0,內交,1,130T外包,225 ,0 ,透明,1
Goped,2Q944-131E,切斷鍵,0,內交,1,100T,348 ,0 ,透明,1
Goped,2Q944-161E,LCD支架,0,內交,1,130T外包,274 ,0 ,透明,1
Goped,2Q944-181E,導航鍵,0,內交,1,DC200T,267 ,0 ,透明,1
Goped,2Q944-221E,選擇鍵,0,內交,1,DC200T,267 ,0 ,透明,1
Goped,2Q944-233E,腳架(第一射),0,內交,1,180T,80 ,0 ,透明,1
Goped,2Q944-232E,腳架(未印刷),0,內交,1,100T,85 ,0 ,透明,1
Goped,2Q944-141E,喇叭後蓋,0,內交,1,100T,295 ,0 ,透明,1
Goped,2Q944-151E,掛鉤,0,內交,1,50T,626 ,0 ,透明,1
Goped,2Q944-171E,程式鍵,0,內交,24,50T,873 ,0 ,透明,1
Goped,2Q944-072E,音量鍵,0,內交,1,50T,533 ,0 ,透明,1
Goped,2Q944-192E,免提鍵,0,內交,1,50T,460 ,0 ,透明,1
Goped,2Q944-202E,靜音鍵,0,內交,1,50T,411 ,0 ,透明,1
Goped,2Q944-212E,暫停鍵,0,內交,1,100T,1094 ,0 ,透明,1
Goped,1A0225D00-01E,後蓋總成,0,內交NSD,1,350T,65 ,0 ,透明,1
Goped,2Q944-081E,聽筒上蓋,0,內交,1,180T,153 ,0 ,透明,1
Goped,2Q944-091E,聽筒下蓋,0,內交,1,180T,120 ,0 ,透明,1
Goped,2Q944-101E,聽筒導光柱,0,內交,1,50T,320 ,0 ,透明,1
Goped,2Q944-111E,支架,0,內交,1,100T,600 ,0 ,透明,1
Bananarama,1B01FPA00-01E,模式功能鍵,0,內交NSD,2,100T,240 ,0 ,透明,1
Bananarama,1B01FPB00-01E,LCD支架B,0,內交NSD,1,180T外包,348 ,0 ,透明,1
Bananarama,1B01FPC00-01E,LCD支架A,0,內交NSD,1,180T外包,348 ,0 ,透明,1
Bananarama,1B01FPD00-01E,透明按鈕,0,內交NSD,1,50T,218 ,0 ,透明,1
Bananarama,1B01FMQ00-01E,前蓋,0,內交,1,180T外包,77 ,0 ,透明,1
Bananarama,2Q687K311E,底座,0,內交NSD,1,180T外包,85 ,0 ,透明,1
Athena,1B01YSE00-01E,功率導光柱,0,內交,1,50T,547 ,0 ,透明,1
Athena,1B01YSG00-02E,上蓋,0,內交,1,650T,50 ,0 ,透明,1
Athena,1B01YHK00-01E,電池蓋,0,內交,1,650T,57 ,0 ,透明,1
Athena,1B01YSF00-01E,電池導光柱,0,內交,6,50T,295 ,0 ,透明,1
Athena,1A02B9U00-01E,卡門,0,內交NSD,1,130T,117 ,0 ,透明,1
Athena,2Q1C8-011E,下蓋,0,內交,1,650T,54 ,0 ,透明,1
RT Black,1B01N8900-01E,導光柱,0,內交,1,50T,700 ,0 ,透明,1
RT Black,1B21GK600-01E,連接蓋,0,內交,1,100T,436 ,0 ,透明,1
RT Black,1B01N7500-02E,角架前蓋,0,內交,1,350T外包,131 ,0 ,透明,1
RT Black,1A02FT400-01E,後蓋總成,0,內交NSD,1,450T,65 ,0 ,透明,1
RT Black,1B01N8V00-01E,連接器擋板,0,內交,1,130T,511 ,0 ,透明,1
RT Black,1B212YC00-01E,蓋子,0,內交,1,50T,529 ,0 ,透明,1
RT Black,1B01N3K00-01E,聽筒上蓋,0,內交,1,180T,132 ,0 ,透明,1
RT Black,1B01N3J00-01E,聽筒下蓋,0,內交,1,180T,120 ,0 ,透明,1
RT Black,1B01N3D00-01E,聽筒支架,0,內交,1,100T,480 ,0 ,透明,1
RT Black,1B01N3F00-01E,導光柱,0,內交,1,50T,182 ,0 ,透明,1
RT Black/1A02FY600/FY6TC,1B01N3G00-01E,聽筒上蓋,0,內交,1,180T,150 ,0 ,透明,1
RT Black/1A02FY600/FY6BC,1B01N3H00-01E,聽筒下蓋,0,內交,1,180T,132 ,0 ,透明,1
RT Black/1A02FY600/FY6BC,1B01N3D00-01E,聽筒支架,0,內交,1,100T,480 ,0 ,透明,1
RT Black/1A02FY600/FY6TC,1B01NWP00-01E,導光柱,0,內交,1,50T,206 ,0 ,透明,1
RT Black,1A02FT300-03E,切斷鍵總成,0,內交,1,130T外包,240 ,0 ,透明,1
RT Black,1B01N8U00-01E,可拆卸功能鍵,0,內交,1,DC200T外包,1161 ,0 ,透明,1
RT Black,1B01N8U00-02E,會議鍵,0,內交,1,DC200T外包,1161 ,0 ,透明,1
RT Black,1B01N8U00-03E,暫停鍵,0,內交,1,DC200T外包,1222 ,0 ,透明,1
RT Black,1B01N8Q00-01E,可拆卸功能鍵,0,內交,1,DC200T外包,1290 ,0 ,透明,1
RT Black,1B01N8Q00-02E,目錄鍵,0,內交,1,DC200T外包,1290 ,0 ,透明,1
RT Black,1B01N8Q00-03E,語音郵件鍵,0,內交,1,DC200T外包,1290 ,0 ,透明,1
RT Black,1B01N8P00-01E,挂鉤,0,內交,1,50T,520 ,0 ,透明,1
RT Black,1B01YJB00-01E,上支架,0,內交,1,180T外包,383 ,0 ,透明,1
RT Black,1B01YHJ00-01E,下支架,0,內交,1,180T外包,384 ,0 ,透明,1
RT Black,1B01N8N00-01E,數字鍵,0,內交,1,DC200T外包,225 ,0 ,透明,1
RT Black,1B01N8M00-01E,透光功能鍵,0,內交,1,HDC200T,384 ,0 ,透明,1
RT Black,1B01N8400-02E,選擇鍵,0,內交,1,DC200T外包,896 ,0 ,透明,1
RT Black,1B01N8T00-01E,音量鍵,0,內交,1,DC120T,438 ,0 ,透明,1
RT Black,1B01N8R00-01E,後退鍵,0,內交,1,DC120T,438 ,0 ,透明,1
RT Black,1B01N8L00-01E,掛斷鍵,0,內交,1,DC120T,479 ,0 ,透明,1
RT Black,1B01N8500-02E,導航鍵,0,內交,1,DC120T外包,360 ,0 ,透明,1
RT Black,1B01N7100-01E,功能鍵,0,內交,2,DC200T外包,171 ,0 ,透明,1
RT Black,1B01N7320-01E,LCD前蓋,0,內交,1,DC200T,65 ,0 ,透明,1
RT Black,1B01N7400-01E,LCD後蓋,0,內交,1,350T,109 ,0 ,透明,1
RT Black,1B01N7200-02E,LCD 面板,0,內交,1,250T,130 ,0 ,透明,1
RT Black,1B01VG100-21E,LCD前蓋,0,內交,1,DC200T,65 ,0 ,透明,1
RT Black,1B01VG400-01E,功能鍵,0,內交,1,130T外包,438 ,0 ,透明,1
RT Black,1B01VG000-02E,LCD 面板,0,內交,1,180T,111 ,0 ,透明,1
RT Black,1B01VG300-01E,LCD後蓋,0,內交,1,350T,114 ,0 ,透明,1
RT Black,1A2233D00-01E,LCD後蓋總成,0,內交NSD,1,350T,106 ,0 ,透明,1
RT Black,1B01N8CR1-01E,前蓋,0,內交,1,350T,53 ,0 ,透明,1
RT Black,1B4123B00-01E,數字鍵,0,內交,1,HDC200T,168 ,0 ,透明,1
RT Black,1B21PTCR1-01E,前蓋,0,內交,1,350T,48 ,0 ,透明,1
RT White,1B01N8900-01E,導光柱,0,內交,1,50T,700 ,0 ,透明,1
RT White,1B21GK600-21E,連接蓋,0,內交,1,100T,355 ,0 ,透明,1
RT White,1B01N75UV-12E,角架前蓋,0,內交,1,350T外包,101 ,0 ,透明,1
RT White,1A02FT400-21E,RT後蓋總成(白色),0,內交NSD,1,450T,65 ,0 ,透明,1
RT White,1B01N8V00-01E,連接器擋板,0,內交,1,130T,511 ,0 ,透明,1
RT White,1B212YCUV-11E,camera 蓋,0,內交,1,50T,333 ,0 ,透明,1
RT White,1B01N3KUV-11E,聽筒上蓋,0,內交,1,180T,176 ,0 ,透明,1
RT White,1B01N3JUV-11E,聽筒下蓋,0,內交,1,180T,161 ,0 ,透明,1
RT White,1B01N3D00-01E,聽筒支架,0,內交,1,100T,480 ,0 ,透明,1
